Sample Data,2022 07 02 09_51
AIM Version,11.0.1
Classifier Model,3082,Classifier S/N,3082001809001,Classifier Firmware Version,2.3
Neutralizer Model,3088,Neutralizer S/N,
Impactor (cm),None,Impactor S/N,
DMA Model,3081,DMA S/N,
DMA Inner Radius (cm),0.9369999999999999
DMA Outer Radius (cm),1.9609999999999999
DMA Characteristic Length (cm),44.369
Detector Model,3750,Detector S/N,3750180803,Nano Enhancer,NONE
Detector Sample Flow (L/min),1,Detector Inlet Flow (L/min),1
Reference Gas Viscosity (Pa*s),1.832450e-5
Reference Mean Free Path (m),6.730000e-8
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),38.40
Tube Diameter (cm),0.48
Channels/Decade,128
Multiple Charge Correction,true
Nanoparticle Agglomerate Mobility Analysis,FALSE
DiffusionCorrection,true
Units,dW/dlogDp
Weight,Number
71,07/02/2022,10:35:07,22.0,101.0,61.6,6.72101e-8,1.82767e-5,,2959.417,1770.107,2711.421,2606.746,1983.075,2569.920,2365.922,3248.475,1626.839,2627.990,3992.834,2874.552,5206.488,2585.263,1244.633,1817.042,774.687,2332.733,2846.347,2009.707,2122.695,2852.887,1216.805,2335.684,591.612,1361.681,2202.444,1157.896,1113.184,905.463,2001.410,829.964,857.503,1661.286,1150.588,1301.328,1367.319,1149.236,1407.249,1251.748,2810.058,3508.979,3820.989,2162.811,1437.758,1691.386,3090.862,2695.884,2087.699,1485.658,3287.375,2860.751,2216.774,1429.122,1037.322,2138.514,1413.471,1984.692,2796.689,2500.860,2546.829,1226.704,1570.414,1202.228,1648.632,1601.983,1849.065,873.364,1403.648,1315.985,1261.023,871.711,958.069,1182.018,1702.963,974.077,699.168,498.370,1340.897,1014.704,800.095,1111.211,1087.637,1241.558,976.523,832.588,450.294,518.955,1235.662,1477.125,1507.797,1090.248,1088.698,1491.795,1635.003,1451.203,861.115,1018.326,1800.437,2008.354,491.781,809.651,723.142,1233.165,2260.802,946.952,1413.506,1162.455,1478.149,920.033,823.714,580.940,588.920,1278.799,853.078,1677.397,603.076,532.643,615.886,628.489,1619.648,1231.836,833.885,830.313,1625.773,1434.730,974.773,961.424,1271.542,940.935,625.816,1383.998,844.320,1312.968,1172.089,1487.195,1355.670,1109.410,505.665,386.739,61.044,752.659,893.423,1397.969,1348.702,1093.361,386.601,638.003,0.000,0.000,333.563,605.848,384.946,457.661,0.000,0.000,452.313,20.273,0.000,0.000,344.804,320.171,61.197,0.000,0.000,0.000,0.000,0.000,289.384,0.000,0.000,477.641,417.524,155.948,193.896,0.000,197.161,894.762,401.069,202.255,203.994,355.670,263.904,157.718,791.353,426.152,928.724,1231.892,656.457,956.886,593.794,303.650,494.483,450.349,669.023,722.570,777.511,1252.999,576.383,362.159,852.639,491.610,496.004,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,58.845,123.357,73.262,25.713,2.587,1.90004e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
72,07/02/2022,10:36:38,21.9,101.2,61.7,6.70484e-8,1.82719e-5,,7426.999,5171.260,4957.742,4974.751,3229.102,3710.390,2373.742,4233.221,3715.580,4539.952,3529.148,1982.748,2536.165,2590.004,3432.251,4085.674,2969.027,3156.263,2464.076,1451.237,2370.060,1381.278,1825.164,1296.459,1012.115,1963.995,1631.247,1640.335,1270.805,1773.028,1693.976,788.267,681.638,1406.363,1135.353,932.554,1601.526,751.583,1217.229,1137.827,2168.607,1146.549,1157.993,753.705,1086.842,437.480,1903.857,1235.820,2163.047,1182.160,434.352,1191.563,1015.708,223.988,725.986,1045.264,1086.086,1337.064,2022.524,1720.095,809.814,1175.998,992.553,697.114,1067.685,893.716,702.686,773.335,879.411,696.860,1066.879,622.217,984.646,1158.740,601.033,1038.919,918.944,382.567,795.177,1600.736,1158.431,2134.019,1741.706,2013.325,1140.890,1552.393,1461.783,1061.815,897.136,759.889,1275.742,203.270,576.140,227.053,541.736,456.394,588.352,867.147,465.619,1393.239,1756.540,255.944,770.986,656.573,1062.594,685.194,913.805,628.230,1005.010,665.134,762.645,1146.086,1098.380,1081.225,1523.294,1217.547,1072.795,132.294,350.764,1137.048,0.000,941.277,636.686,521.920,324.141,1178.203,627.334,752.072,882.650,726.694,500.029,1045.041,805.078,245.185,238.723,479.468,552.110,567.074,96.339,551.054,47.508,376.369,726.638,1032.926,1124.234,557.160,735.065,565.016,876.696,2.255,46.428,385.102,0.000,111.805,0.000,0.000,234.650,348.587,0.000,588.643,247.119,552.077,340.582,385.109,247.237,314.978,0.000,0.000,77.479,0.000,127.186,103.180,286.006,480.589,12.692,225.395,252.548,397.535,613.532,392.148,611.782,561.990,159.328,209.312,1106.729,907.077,1001.796,398.591,656.216,533.606,18.305,224.678,226.691,457.452,346.173,582.169,234.961,258.658,1054.715,241.361,661.659,582.535,474.125,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,47.602,112.587,62.350,20.721,2.713,1.69040e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
73,07/02/2022,10:38:08,21.8,101.3,61.7,6.69533e-8,1.82672e-5,,6418.566,7661.558,6668.735,5182.018,5258.997,4229.411,3284.908,3202.102,3851.409,4121.206,3287.371,4120.445,3243.956,3452.407,3702.535,1955.135,3751.215,4646.274,1682.269,1897.137,2794.140,3730.761,2522.295,2150.692,2438.102,3167.598,2205.767,2270.782,1867.393,1430.685,1414.851,1363.969,1643.394,3290.520,3875.750,2697.577,2229.795,2389.212,2098.885,2454.053,973.596,1890.325,1779.411,1507.235,1808.105,1111.130,1796.083,1567.623,1647.688,3043.359,1856.031,1103.924,1792.604,838.463,1245.540,1469.001,1542.026,2118.795,1649.530,2093.699,1791.785,1886.841,511.824,1903.154,1436.266,1172.837,1949.090,941.188,1354.272,535.530,1179.563,1651.093,2082.448,1321.913,1096.916,806.680,1147.281,1135.709,1035.475,1530.806,964.811,1079.397,809.671,842.305,1217.377,1607.149,564.105,1075.653,983.754,1398.082,1673.327,1321.352,1318.607,1045.203,1185.422,1642.138,965.527,1933.774,1754.684,1492.331,1369.975,1238.959,1243.467,230.967,977.346,815.387,837.931,811.338,847.894,1054.786,565.886,1754.556,1428.670,2209.321,2192.176,1423.356,762.942,1996.879,757.820,1056.963,353.701,635.092,374.398,457.099,845.213,460.610,645.828,1500.041,1317.382,344.137,679.221,680.982,477.602,871.357,645.872,931.343,752.551,1080.036,603.683,547.440,274.290,692.787,415.420,423.754,757.282,355.854,169.345,887.342,298.637,203.427,210.396,307.780,238.133,682.166,855.661,447.130,487.686,381.176,373.655,260.807,314.157,31.820,76.482,108.653,268.494,0.000,13.170,0.000,54.171,114.354,28.130,0.000,95.317,96.100,193.795,390.836,0.000,198.729,200.430,0.000,101.944,0.000,103.724,104.636,0.000,106.483,0.000,108.385,0.000,0.000,0.000,0.000,113.324,0.000,115.369,0.000,0.000,118.519,205.739,154.385,243.486,0.000,371.811,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,43.579,80.986,54.566,21.097,2.278,2.06538e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
74,07/02/2022,10:39:39,21.7,100.9,61.4,6.71898e-8,1.82624e-5,,6490.337,6277.302,4435.075,4202.236,3014.079,5582.596,3346.429,4995.041,5150.083,7560.679,3778.715,4827.414,4035.460,3417.918,2734.515,4291.324,2942.890,1312.084,2255.949,1746.730,1843.071,1336.472,2294.431,1279.061,984.739,2656.597,1334.647,2239.946,2113.670,1740.769,1176.840,1683.585,2498.394,1514.609,2092.286,1800.246,1861.499,2315.518,4628.368,2686.122,2323.641,2742.983,2595.725,2470.003,2044.525,1268.173,1521.314,2262.986,2476.267,2108.001,1109.204,2195.976,1916.529,2105.753,1805.303,1347.127,1687.046,1947.889,1113.858,1619.131,1072.713,1257.352,1415.646,1018.826,618.788,2102.624,1465.516,925.709,881.924,760.227,1130.770,1239.833,927.717,261.828,826.450,439.241,704.441,696.454,1477.851,1497.303,1791.330,1911.428,1097.350,1662.823,1055.137,1499.721,1855.450,508.117,945.949,1230.855,769.571,1010.794,1499.876,1182.890,1572.890,1901.107,1937.520,1827.397,1394.254,1697.941,1392.348,1345.290,1136.443,738.598,474.315,1567.856,1007.018,897.742,735.300,1039.505,1288.774,1556.291,897.847,1667.776,824.837,885.901,824.247,418.877,369.122,312.503,188.665,190.042,364.033,327.309,646.959,707.337,914.871,478.071,1309.230,451.810,680.517,840.546,660.357,180.366,253.202,474.581,665.710,980.376,875.163,1235.089,0.000,0.000,97.699,358.710,673.841,600.539,736.303,855.123,294.397,667.378,127.435,44.722,0.000,0.000,0.000,564.538,1027.405,365.270,557.798,486.379,647.272,483.086,177.896,168.703,247.311,0.000,607.233,578.470,716.867,918.191,1299.985,1468.248,762.900,865.315,872.493,293.267,432.301,259.913,1013.860,824.399,1502.946,814.390,1254.122,942.117,844.808,745.734,283.857,689.555,218.800,110.382,0.000,112.371,226.755,114.395,0.000,235.404,820.085,237.151,119.640,0.000,365.401,245.795,0.000,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,47.020,107.642,62.076,24.362,2.619,2.12497e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
75,07/02/2022,10:41:09,21.9,100.9,61.3,6.72478e-8,1.82719e-5,,4804.227,4775.720,5934.237,7002.300,4056.242,5766.056,5849.318,3492.787,2134.866,3161.403,1849.063,2087.306,2866.423,2081.873,2936.937,2827.704,3171.882,3884.312,2298.732,1659.293,1513.728,1331.417,3736.707,3518.649,2210.936,2054.879,2408.907,1935.873,3069.595,3412.565,2140.688,2125.571,1684.363,2334.621,1767.614,2015.109,2703.028,1872.542,3166.268,2816.856,3491.564,2434.533,2082.301,2743.829,1843.495,2416.450,1918.592,2986.750,3282.644,2059.260,2800.987,3763.427,1425.602,2760.409,2413.367,1362.070,3294.671,2047.602,1586.418,1399.977,2191.919,2105.879,1926.591,2265.715,1143.760,1748.865,1332.928,1114.074,1566.923,1747.128,1734.393,2143.751,2203.300,2459.755,358.718,1743.346,1227.492,1327.954,725.116,1195.329,1113.725,839.612,1409.021,1137.744,1899.282,1134.956,1383.034,1806.168,2018.707,971.661,1217.001,927.659,882.437,1311.533,911.504,1089.692,1372.028,1664.675,1649.657,1265.464,1840.283,2145.515,1782.604,1322.408,1363.482,1928.212,2250.281,787.420,515.996,678.272,1993.625,908.744,1942.037,1828.621,1749.780,1225.156,1144.836,882.625,749.396,1047.179,440.513,377.805,726.492,765.590,124.917,0.000,156.135,213.994,595.879,354.821,737.980,819.799,1101.886,818.783,486.892,422.857,227.239,459.186,0.000,35.774,381.734,293.827,0.000,0.000,0.000,163.325,145.800,368.906,676.825,34.207,315.190,618.746,324.033,610.812,249.114,279.539,613.122,341.650,928.824,0.000,0.000,0.000,0.000,369.513,243.521,156.167,284.643,1203.562,511.747,1033.057,371.425,699.533,528.907,518.234,119.923,334.331,223.633,420.485,409.389,505.675,446.423,784.386,363.050,261.948,578.495,739.198,492.836,671.305,526.274,993.562,1249.239,1442.728,1361.893,1022.452,461.760,465.907,470.110,355.768,617.925,221.641,243.629,21.564,226.264,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,50.590,107.323,62.975,21.870,2.530,2.28198e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
76,07/02/2022,10:42:40,21.9,100.9,61.2,6.72478e-8,1.82719e-5,,11680.777,9497.540,6984.133,6567.248,5949.473,2828.796,2339.109,5172.855,3123.392,2514.308,1360.741,5092.332,3959.118,2048.779,2684.626,4273.375,2117.388,2029.758,2396.034,1125.565,2871.641,1901.143,2092.287,1125.824,2125.801,2091.427,3402.495,1260.672,2532.990,925.584,2190.350,2138.556,2398.702,2855.963,2049.950,3118.221,1891.535,3405.259,2236.758,2285.745,1877.311,1584.567,2644.676,2872.897,2202.237,2819.442,2537.725,1646.495,2398.145,2057.923,1809.718,1778.313,1782.524,1170.623,1170.830,1621.410,841.600,1835.942,1660.311,1004.982,1746.850,1294.079,1357.998,1874.624,1492.894,1247.211,2427.174,2308.674,1013.321,900.967,709.819,598.258,1386.125,1067.610,868.399,779.564,1760.776,1591.704,778.941,1506.721,1080.566,710.069,1188.759,1322.699,1959.103,770.884,995.750,1168.554,1513.937,1162.798,899.493,1021.786,1154.908,1481.855,1615.138,1451.644,1282.185,1302.548,1075.220,865.005,765.757,1414.156,927.759,1351.236,1468.412,1194.839,867.645,745.130,673.341,1127.850,1225.712,993.458,750.909,1261.570,943.962,893.137,852.908,371.772,290.782,441.130,586.666,980.474,365.421,1004.847,809.389,1031.543,540.906,0.000,792.591,983.877,842.674,1116.974,362.709,444.406,815.417,859.614,650.249,775.446,330.806,274.592,295.373,610.450,403.449,483.310,1012.401,645.400,691.430,135.918,574.827,656.633,0.000,46.949,541.103,658.450,1181.176,451.093,0.000,953.939,121.221,622.242,258.260,502.589,687.691,0.000,77.892,415.037,0.000,0.000,190.985,89.367,0.000,291.880,386.963,384.630,991.196,646.851,478.025,718.761,208.839,505.670,714.074,308.671,363.050,524.243,313.907,419.555,883.973,256.090,550.131,328.092,401.853,605.976,453.564,228.811,1269.855,465.907,117.528,474.358,957.240,603.643,365.456,122.906,447.367,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,45.630,104.209,59.607,20.721,2.599,2.16348e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
77,07/02/2022,10:44:10,22.0,100.9,61.2,6.72768e-8,1.82767e-5,,4817.561,5385.086,4951.704,5253.103,3078.760,3482.193,5115.413,5539.966,5200.430,2292.220,2097.806,2077.882,2191.931,4088.100,3546.015,4461.071,3336.191,3236.749,2825.135,1853.744,2136.675,3658.724,3042.613,2629.958,2979.103,2391.329,1854.968,2932.371,2524.930,2735.636,1766.507,2407.233,1601.339,2250.990,2173.418,1931.761,2525.564,2012.679,2757.327,2978.981,2674.711,2066.876,1943.085,4386.590,2107.273,2079.355,3631.387,3069.959,3009.753,1613.623,2236.449,2339.887,3259.908,3058.693,2597.467,2776.439,1187.786,1901.996,1740.057,1486.024,1435.400,1408.421,1015.417,1208.962,770.976,988.909,967.654,846.257,1091.745,1342.137,1480.566,1428.828,1233.709,951.295,1207.095,763.725,1453.197,1918.322,1067.879,1360.277,1353.603,580.559,727.915,1470.372,878.245,1120.651,652.124,1151.289,284.536,821.273,972.674,1088.827,1156.417,1107.921,637.681,1578.407,1179.812,1324.842,495.860,991.780,747.352,314.454,857.080,1317.366,844.036,802.424,820.497,491.869,677.545,1024.593,876.384,1382.195,1244.883,725.295,378.150,639.989,845.129,539.598,353.547,330.861,476.971,75.346,813.748,696.717,772.144,350.164,228.910,564.098,186.739,86.105,355.532,419.107,1135.831,833.027,569.399,699.699,971.818,641.694,507.008,828.637,1473.707,909.870,757.086,274.840,256.471,881.424,279.468,666.288,267.133,445.707,249.104,0.000,0.000,0.000,165.089,247.393,849.731,325.342,123.537,0.000,0.000,39.536,4.168,0.000,208.732,0.000,466.898,194.379,0.000,43.319,0.000,81.679,286.139,480.817,290.883,431.877,156.066,198.854,200.561,127.362,75.564,617.379,726.560,785.729,791.713,213.105,430.009,325.367,218.839,754.434,575.476,449.563,340.193,228.825,346.332,118.987,350.078,118.596,119.661,845.150,0.000,636.157,350.290,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,44.732,92.134,55.831,23.501,2.402,2.06276e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
78,07/02/2022,10:45:41,22.0,100.9,61.4,6.72768e-8,1.82767e-5,,6375.190,7588.410,8085.345,5519.825,4784.265,4115.091,3685.098,2393.529,4888.569,3086.229,5723.395,4592.199,5437.429,3907.687,3314.026,3213.580,3304.881,4668.699,2610.152,1796.068,2126.887,2395.405,2496.742,4183.043,3256.575,1473.549,3192.778,2079.512,2761.775,3989.926,2734.442,3314.711,3205.151,2208.311,2630.500,2846.556,3388.801,3559.770,2548.527,1926.985,3050.828,1757.314,2867.366,3172.839,2712.160,2536.060,2116.684,2542.488,3549.088,2777.395,2635.234,2418.039,1831.997,1054.948,1658.454,2824.832,1612.898,949.087,1331.034,1824.447,1733.704,1991.914,2222.517,1097.844,1780.500,1437.250,2962.411,1711.535,2103.890,1388.823,1698.710,2181.137,2716.639,2739.654,1791.873,2057.400,1229.990,1333.085,1496.518,2096.649,2072.211,2592.956,1243.858,567.332,356.312,935.295,1056.731,906.548,930.712,2992.374,1171.087,1503.764,1111.178,1448.350,1180.894,2197.242,1238.694,1613.145,1105.996,2313.044,549.963,919.565,1156.267,1119.059,1208.798,2082.958,1051.658,1991.441,1173.414,1140.941,1584.433,1414.029,620.030,1065.966,1102.482,886.438,973.768,848.910,998.892,795.251,0.000,971.249,147.214,210.895,1009.554,741.420,796.507,840.661,1313.443,187.520,977.790,1009.770,228.040,331.342,880.308,554.032,556.196,953.059,744.271,741.827,724.170,1429.099,439.174,379.731,632.075,432.521,962.299,234.011,629.959,151.357,521.499,816.910,282.868,965.218,517.682,332.010,393.542,172.530,462.672,626.050,865.376,525.493,954.024,934.346,1197.035,557.702,376.241,469.717,17.844,216.224,357.596,355.937,286.139,96.163,290.878,195.546,0.000,99.430,200.561,404.564,102.011,0.000,311.392,0.000,0.000,0.000,34.264,73.888,218.839,202.426,18.541,0.000,0.000,228.831,0.000,232.967,235.069,592.982,239.321,241.471,852.752,245.838,124.017,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,45.889,88.275,56.923,21.480,2.340,2.47096e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
79,07/02/2022,10:47:12,22.0,100.9,61.7,6.72768e-8,1.82767e-5,,5489.796,4383.078,6422.134,5161.755,4245.738,5469.854,3019.364,4575.288,4712.159,3388.120,4472.900,4919.348,3827.163,2057.849,1875.081,2861.168,3411.643,2007.103,3475.944,2855.710,2272.212,2285.856,2169.372,2625.650,1684.017,2870.029,1661.096,2095.405,2022.838,1860.991,1386.126,1338.214,1167.152,1905.814,1625.600,1666.498,899.689,2924.343,1964.057,1071.079,1382.308,1159.567,1691.093,1981.266,1415.887,1952.551,1577.419,1728.789,2279.500,1751.308,998.374,1832.591,1190.113,1540.744,1806.636,1171.817,1924.789,2269.211,1022.598,1210.415,2067.130,2099.264,1059.361,995.513,2443.895,1511.578,1653.787,1421.594,360.771,1907.539,1708.444,1021.781,1681.563,1510.448,1904.996,1281.643,1072.175,356.256,1183.595,1357.349,721.657,1325.168,1149.817,632.635,939.674,1489.068,1492.155,1276.532,1955.393,1731.679,1386.243,1141.680,1064.075,1082.622,1629.096,485.625,1348.083,1583.086,1451.203,1868.485,1878.606,1346.082,1974.342,1809.065,1408.202,1147.057,1756.224,418.866,1196.544,864.673,1264.877,1577.917,717.127,593.681,377.895,1083.457,1101.583,1055.579,1376.275,1159.096,1263.289,816.373,1127.637,835.281,998.111,744.804,1158.271,369.279,0.000,1200.376,299.048,512.650,1447.842,1321.244,1025.515,830.993,592.200,241.796,1105.543,1231.638,1039.432,405.060,396.724,178.605,21.442,0.000,356.765,0.000,0.000,376.458,205.062,0.000,0.000,0.000,372.206,655.221,531.001,167.740,648.729,311.929,501.640,174.470,581.801,406.062,0.000,480.986,0.000,52.594,31.063,0.000,0.000,294.108,893.734,541.373,1281.600,565.395,461.983,519.967,409.621,962.706,967.215,767.009,885.746,839.839,738.432,319.657,645.014,542.279,218.839,533.626,865.938,1095.045,527.208,457.661,577.220,815.374,587.690,830.169,564.963,637.306,365.465,614.594,744.104,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,52.654,117.331,65.941,21.480,2.691,2.12939e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
80,07/02/2022,10:48:42,21.9,100.9,61.8,6.72478e-8,1.82719e-5,,7942.997,5969.909,4211.115,4786.248,4430.515,3812.957,3660.385,3401.206,2737.733,2385.915,1812.393,1549.991,3300.994,4154.201,4113.574,1768.415,2128.683,2889.067,3965.526,3482.699,2344.598,2966.613,1519.361,2484.881,1629.594,2707.935,1833.431,1415.486,1679.538,2529.103,3492.281,2527.615,2719.678,3076.427,2760.518,3006.208,2994.575,2142.004,2381.933,2547.038,2325.219,1278.936,1358.078,1364.215,1469.729,1608.915,1875.771,1581.588,1832.256,2024.877,2121.306,2286.149,1161.305,1899.427,1510.455,1782.892,1923.593,1562.429,794.343,1660.985,2048.570,1467.326,1348.075,2011.446,1136.237,1293.746,1525.183,984.343,378.200,1242.208,1539.824,1794.277,746.278,1425.877,1952.168,1544.326,2109.653,1249.271,1176.987,1915.800,1806.197,1390.660,1213.690,1441.158,1081.869,1052.751,1333.930,1503.626,1257.013,1456.686,1966.108,1652.889,1351.681,800.415,1873.200,1075.599,1069.005,1773.226,1000.685,1326.137,981.204,780.251,1328.705,1176.396,871.183,1059.939,913.058,1599.282,1499.660,1750.210,1321.331,1509.388,750.965,446.070,1577.148,1040.593,431.927,1277.154,32.068,573.163,756.818,398.299,1236.509,994.549,655.268,1309.714,1008.659,476.424,169.807,884.666,599.412,617.090,138.824,58.306,487.270,549.431,296.441,0.000,190.886,736.151,1052.644,923.627,1862.241,1136.553,1490.735,842.807,571.341,650.776,957.496,169.430,308.729,805.588,0.000,0.000,670.627,812.443,579.829,510.925,567.503,1079.501,551.409,855.119,456.382,253.778,436.702,277.712,375.931,317.167,127.787,0.000,602.980,437.210,226.387,252.540,10.817,86.860,197.176,497.119,401.099,404.540,242.414,784.401,985.781,994.835,528.068,363.882,277.844,0.000,328.239,92.049,686.803,786.689,566.954,915.274,692.623,235.450,350.064,118.584,119.654,362.186,365.444,759.028,474.284,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,50.550,108.710,64.177,20.721,2.571,2.15843e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
81,07/02/2022,10:50:13,21.9,100.9,61.8,6.72478e-8,1.82719e-5,,13374.965,8311.275,6820.235,5754.721,7431.566,8735.492,7344.882,5837.215,5549.269,5795.071,4015.163,4359.478,4617.441,8407.881,7267.293,3494.355,3377.493,3513.729,4466.922,5597.815,7053.344,4615.510,3716.813,2551.023,3525.913,2464.103,2766.793,1852.614,1800.223,2430.880,1488.454,1848.558,882.049,1310.178,754.173,1101.741,1155.655,693.530,1308.204,534.147,1155.884,459.649,1690.443,829.384,1620.100,1072.615,844.342,1132.857,1728.872,1084.312,1541.479,927.880,1356.796,1641.976,528.720,1055.856,726.558,640.138,1060.743,858.153,925.127,595.984,1662.090,957.967,1474.305,1125.615,1499.400,1267.824,524.030,858.602,574.701,977.662,1004.320,744.527,486.016,891.806,702.905,957.648,861.976,385.180,413.279,187.267,691.702,1561.863,613.200,1286.495,1230.908,1057.934,684.049,1174.394,784.428,402.728,956.496,805.888,962.099,645.958,617.674,1313.453,1003.492,632.859,1236.259,912.491,1624.035,1312.275,1195.373,1246.103,868.962,1223.132,970.652,989.216,949.368,1749.534,857.309,1653.436,1217.525,1855.080,1569.987,1223.782,462.773,1107.093,886.494,1158.706,363.098,960.885,344.670,921.966,440.770,217.147,570.821,1595.340,364.324,659.054,404.665,721.770,238.582,525.870,474.539,780.297,1041.178,770.417,439.850,148.726,495.471,972.614,459.088,452.886,57.631,0.000,0.000,0.000,0.000,0.000,0.000,698.812,1041.667,360.460,0.000,207.294,48.502,0.000,0.000,0.000,0.000,0.000,0.000,280.020,138.263,0.000,0.000,92.942,508.569,276.277,286.122,288.473,484.776,627.635,1406.722,2019.544,1715.574,1686.415,736.196,514.447,726.496,418.793,105.614,319.638,752.472,433.814,878.371,530.531,643.120,605.991,453.564,1000.574,767.948,1001.971,424.992,282.699,478.614,603.643,574.642,547.951,350.274,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,32.237,103.162,53.737,20.721,2.750,2.27655e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
82,07/02/2022,10:51:43,21.9,101.0,61.6,6.71812e-8,1.82719e-5,,8837.025,7637.579,8233.808,8462.936,4048.306,5676.074,6582.276,6314.555,5013.371,5473.237,5570.617,6370.066,3647.870,3055.648,4397.983,4753.039,4989.571,3928.955,1745.429,3281.848,1483.118,1406.242,1490.049,4104.256,2623.473,3761.551,2736.432,1464.184,1419.827,2746.063,2557.722,3690.603,2062.213,1531.964,2200.633,377.715,2186.909,1513.694,2741.305,1939.036,2548.962,1076.661,868.072,2211.528,1624.286,1817.807,2967.057,2699.966,2645.166,1028.267,1092.902,1635.940,1923.710,2217.193,1395.429,1603.084,1572.458,1306.420,1061.802,938.261,1513.037,1465.566,1264.018,1020.419,603.478,883.575,827.566,1146.643,1501.729,1025.743,1660.929,2141.125,1580.426,1030.845,1900.260,1635.517,1848.335,993.834,1047.667,1799.311,750.532,1523.096,1141.000,1355.122,1177.389,956.221,713.406,1183.420,738.239,464.184,859.623,1479.018,625.673,887.100,476.349,847.913,1127.269,1689.980,933.043,1157.313,1558.711,949.714,952.190,443.572,784.566,926.028,508.638,1014.873,851.968,1197.990,989.142,1198.103,889.088,891.682,456.836,974.657,501.866,1057.009,932.809,812.128,507.326,1067.509,1021.109,1125.387,1207.458,694.028,1550.470,2340.440,1264.931,865.399,892.202,997.325,526.776,630.456,256.778,373.710,138.250,824.026,13.488,754.846,669.969,0.000,691.195,24.141,244.460,464.735,793.188,56.162,211.639,291.090,0.000,34.999,0.000,873.129,545.997,202.356,613.936,458.672,29.078,345.268,199.772,300.271,0.000,181.015,43.533,1.968,589.648,411.458,220.110,0.000,69.394,310.596,286.083,96.140,290.827,293.263,394.294,290.494,408.848,101.121,815.928,514.383,207.539,0.000,316.798,106.532,107.482,108.435,109.399,0.000,0.000,0.000,226.763,114.393,115.422,349.384,352.530,258.776,337.084,362.138,365.395,491.575,123.994,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,38.237,83.018,51.444,20.721,2.385,2.22371e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
